cable_key,risk_score,max_lp_risk,landing_points,risk_tier
id-sirius-south,11.271373454903578,7.514076204633851,2,7
id-deep-blue-one,11.233417380758628,5.314805529785717,5,7
id-mid-atlantic-crossing-mac,11.228269520238086,6.7723524189859265,3,7
id-5-villages-6-islands,11.212300037190245,2.044941094308593,9,7
id-s-u-b-cable-system,11.139935214846172,8.006811822364366,3,7
id-cayman-jamaica-fiber-system-cjfs,11.118477762874623,5.398266843892777,6,7
id-firmina,11.11484516427225,11.11484516427225,4,7
id-tasman-express-tx,11.04973945112889,8.038643543501069,2,7
id-yuza-tobishima,11.025659346081373,7.03466360490918,2,7
id-exa-north-and-south,10.994194025045985,6.493203201961635,5,7
id-equiano,10.829312496543888,3.7025760157704672,6,7
id-lake-michigan-chicago-crossing,10.793884601985104,9.762160226398734,3,7
id-berytar,10.709368218470129,4.694617606755734,4,7
id-fiber-optic-gulf-fog,10.61299869328047,5.544909655469345,4,7
id-padang-tua-pejat,10.606996424514707,10.606996424514707,2,7
id-corse-continent-4-cc4,10.573703613284456,10.573703613284456,2,7
id-jonah,10.548595553374444,10.548595553374444,2,7
id-australia-singapore-cable-asc,10.516643185416505,9.593249307641026,4,7
id-hachijojima-mainland,10.398948688513986,10.398948688513986,2,7
id-alaska-united-southeast-au-se,10.375172053544311,5.0906636053094685,7,7
id-t3,10.359740181740559,5.2873610100688975,2,7
id-esat-2,10.215471686334194,6.493203201961635,2,7
id-havhingstenceltixconnect-2-cc-2,10.143502317154796,7.514076204633851,4,7
id-penbal-5,10.040336036158777,5.3334444423156615,2,7
id-globalconnect-6-gc6,9.910012756115904,5.803355027760827,2,7
id-norte-conectado-infovia-02,9.705781495730402,4.056837719311007,13,7
id-juno,9.650496733466706,5.015229705272315,3,7
id-comoros-domestic-cable-system,9.5639231672075,6.765789787080198,3,7
id-ionian,9.434198548844039,6.192376994719278,2,7
id-rockabill,9.413905472928873,6.493203201961635,2,6
id-batam-sarawak-internet-cable-system-basics,9.32357855135115,6.165086953355407,2,6
id-malaysia-cambodia-thailand-mct-cable,9.27936364525818,6.759415926129347,3,6
id-unitirreno,9.276343131511698,7.271609358421046,4,6
id-connected-coast,8.925328278967827,1.917526282113177,108,6
id-link-2-phase-2,8.910366947784667,6.76959826866306,2,6
id-continente-madeira,8.76998769818254,4.594933898686102,2,6
id-ellalink,8.722581131710692,4.594933898686102,6,6
id-janna,8.626330792646616,7.501379443582794,4,6
id-avassa,8.567914335853741,6.765789787080198,4,6
id-sydney-melbourne-adelaide-perth-smap,8.512372878837965,3.2332375408233602,5,6
id-the-east-african-marine-system-teams,8.507876835038958,7.017005023434473,2,6
id-gulf-of-mexico-fiber-optic-network,8.487157711730834,8.487157711730834,2,6
id-palapa-ring-west,8.422637238756435,6.165086953355407,11,6
id-jscfs,8.342181916417392,3.48897846228449,4,6
id-est-tet,8.243085483750189,4.806054888352461,2,6
id-whidbey-island-everett,8.223017211507472,4.112081835490484,2,6
id-te-northtgn-eurasiaseacomalexandrosmedex,8.182492372770431,2.547748025571986,4,6
id-luwuk-tutuyan-cable-system-ltcs,8.170837889306968,7.253238605864836,2,6
id-kochi-lakshadweep-islands-kli-sofc,7.9893689139705595,7.9893689139705595,12,6
id-tt-1,7.899118553324512,5.949502432945037,2,6
id-alaska-united-east-au-east,7.896592087122721,7.3863755218950775,4,6
id-bugio,7.877629815266904,4.175053799496437,2,6
