,score,tier
id-solas,0.00037497412728969883,4
id-apollo-east-and-west,0.00037497412728969883,4
id-svalbard-undersea-cable-system,0.00037497412728969883,4
id-la-gomera-el-hierro,0.000374950104346058,4
id-tenerife-la-palma,0.000374950104346058,4
id-trans-adriatic-express-tae,0.0003749020584587763,4
id-tobrok-emasaed-cable-system,0.0003749020584587763,4
id-bharat-lanka-cable-system,0.00037470987490964975,4
id-lower-indian-ocean-network-2-lion2,0.00037470987490964975,4
id-ultramar-ge,0.00037470987490964975,4
id-transcan-2,0.0003743975766423189,4
id-flores-corvo-cable-system,0.0003743735536986781,4
id-hawaiian-islands-fiber-link-hifl,0.0003740132095440657,4
id-unitel-north-submarine-cable-unsc,0.0003737729801076574,4
id-hokkaido-sakhalin-cable-system-hscs,0.0003731627973391803,4
id-hokkaido-akita-cable,0.0003731627973391803,4
id-tasman-express-tx,0.00037177907578546854,4
id-luwuk-tutuyan-cable-system-ltcs,0.0003706067561357961,4
id-tarakan-selor-cable-system-tscs,0.00036987645864911494,4
id-palawan-iloilo-cable-system,0.0003667630851532635,4
id-sorsogon-samar-submarine-fiber-optical-interconnection-project-sssfoip,0.0003667630851532635,4
id-sumatera-bangka-cable-system-sbcs,0.0003543672462345958,4
id-batam-rengit-cable-system-brcs,0.0003543672462345958,4
id-converge-domestic-submarine-cable-network-cdscn,0.00033564856854966185,4
id-lic-lin-lamp,0.00024979056797733927,4
id-comoros-domestic-cable-system,0.0002496143997239732,4
id-national-digital-transmission-network-ndtn,0.0001803546516778873,4
id-tamtam,0.0001521132791337288,4
id-sweden-latvia,0.00012799424371833654,4
id-pencan-8,0.00011348438575927587,4
id-projeto-amaznia-conectada-pac-01,0.00011204300914082614,4
id-c-lion1,9.974326199672175e-05,4
id-eastern-light-sweden-finland-i,9.902257368749687e-05,4
id-telstra-endeavour,9.743705940720216e-05,4
id-baltic-sea-submarine-cable,8.513731226309774e-05,4
id-globalconnect-kpn,8.24467425753249e-05,4
id-elektra-globalconnect-1-gc1,8.24467425753249e-05,4
id-norte-conectado-infovia-00,7.379848286462648e-05,4
id-tanjung-pandan-sungai-kakap,6.457367250654818e-05,4
id-norte-conectado-infovia-01,4.601922439995885e-05,3
