cable_key,risk_score,max_lp_risk,landing_points,risk_tier,importance_score,importance_tier,base_cost,baseline_material,baseline_reliability_tier,baseline_failure_factor,baseline_expected_cost,importance_material,importance_reliability_tier,importance_failure_factor,importance_expected_cost,sensitivity_material,sensitivity_reliability_tier,sensitivity_failure_factor,sensitivity_expected_cost,combined_material,combined_reliability_tier,combined_failure_factor,combined_expected_cost
id-east-west,54.54382638857652,50.81927984149248,3,9,0.0,1,3000000,Stainless_steel,6,0.5,1350000.0,Stainless_steel,6,0.5,1350000.0,Stainless_steel,6,0.5,1350000.0,CFRP,10,0.1,270000.0
id-curie,54.13056016638375,30.70410732280024,3,9,0.0194545645098355,10,3000000,Stainless_steel,6,0.5,1350000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0
id-tata-tgn-intra-asia-tgn-ia,53.700648609369,25.241193169969705,4,9,0.0046009990853985,8,4000000,Stainless_steel,6,0.5,1800000.0,Titanium_alloys,9,0.2,720000.0,Titanium_alloys,9,0.2,720000.0,CFRP,10,0.1,360000.0
id-gtmo-pr,53.53378330990498,45.64487804157068,2,9,2.882753236899472e-07,2,2000000,Stainless_steel,6,0.5,900000.0,Stainless_steel,6,0.5,900000.0,Stainless_steel,6,0.5,900000.0,CFRP,10,0.1,180000.0
id-tata-tgn-pacific,53.29816114901541,38.45988189579043,5,9,0.0124644772732383,9,5000000,Stainless_steel,6,0.5,2250000.0,CFRP,10,0.1,450000.0,CFRP,10,0.1,450000.0,CFRP,10,0.1,450000.0
id-jakarta-bangka-batam-singapore-b2js,52.83116393288244,36.65033893024727,5,9,0.0081504524289021,9,5000000,Stainless_steel,6,0.5,2250000.0,CFRP,10,0.1,450000.0,CFRP,10,0.1,450000.0,CFRP,10,0.1,450000.0
id-matrix-cable-system,52.2723080051941,36.65033893024727,3,9,0.0161466564194398,10,3000000,Stainless_steel,6,0.5,1350000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0
id-denpasar-waingapu-cable-systems,51.99153063693922,37.57971261963899,4,9,0.000438543640752,4,4000000,Stainless_steel,6,0.5,1800000.0,GFRP,7,0.4,1440000.0,GFRP,7,0.4,1440000.0,CFRP,10,0.1,360000.0
id-taiwan-penghu-kinmen-matsu-no-2-tpkm2,50.70651651469245,19.11875120672456,6,9,0.0031135656794005,7,6000000,Stainless_steel,6,0.5,2700000.0,Titanium_alloys,9,0.2,1080000.0,Titanium_alloys,9,0.2,1080000.0,CFRP,10,0.1,540000.0
id-orca,50.70567264158195,29.119658763369795,3,9,0.0103191995785799,9,3000000,Stainless_steel,6,0.5,1350000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0
id-adria-1,49.32816185753817,35.7393586858152,3,9,0.0008557933442608,5,3000000,Stainless_steel,6,0.5,1350000.0,Nickel_superalloys,8,0.3,810000.0,Nickel_superalloys,8,0.3,810000.0,CFRP,10,0.1,270000.0
id-link-1-phase-2,48.92663747771945,39.46541896949385,2,9,1.441376618449736e-06,3,2000000,Stainless_steel,6,0.5,900000.0,GFRP,7,0.4,720000.0,GFRP,7,0.4,720000.0,CFRP,10,0.1,180000.0
id-tko-connect,48.7468915558311,24.484307513520445,2,9,0.0056725472910863,8,2000000,Stainless_steel,6,0.5,900000.0,Titanium_alloys,9,0.2,360000.0,Titanium_alloys,9,0.2,360000.0,CFRP,10,0.1,180000.0
id-seacomtata-tgn-eurasia,48.59890114309892,13.383330846427096,8,9,0.004732670040641,8,8000000,Stainless_steel,6,0.5,3600000.0,Titanium_alloys,9,0.2,1440000.0,Titanium_alloys,9,0.2,1440000.0,CFRP,10,0.1,720000.0
id-piano-isole-minori,48.24812704463072,4.977416414558099,31,9,0.00075682501593,5,31000000,Stainless_steel,6,0.5,13950000.0,Nickel_superalloys,8,0.3,8370000.0,Nickel_superalloys,8,0.3,8370000.0,CFRP,10,0.1,2790000.0
id-indigo-west,48.01530843561366,36.65033893024727,3,9,0.0130155507881223,10,3000000,Stainless_steel,6,0.5,1350000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0,CFRP,10,0.1,270000.0
id-jakarta-surabaya-cable-system-jayabaya,47.893816819889736,23.32612251465465,4,9,0.0016434335974127,6,4000000,Stainless_steel,6,0.5,1800000.0,Nickel_superalloys,8,0.3,1080000.0,Nickel_superalloys,8,0.3,1080000.0,CFRP,10,0.1,360000.0
id-southern-cross-next,47.88551509512642,29.119658763369795,7,9,0.0040432261435079,7,7000000,Stainless_steel,6,0.5,3150000.0,Titanium_alloys,9,0.2,1260000.0,Titanium_alloys,9,0.2,1260000.0,CFRP,10,0.1,630000.0
id-israel-coasting-1-ic-1,47.87313849087816,10.606735214585669,7,9,0.0006486606604914,5,7000000,Stainless_steel,6,0.5,3150000.0,Nickel_superalloys,8,0.3,1890000.0,Nickel_superalloys,8,0.3,1890000.0,CFRP,10,0.1,630000.0
id-bay-of-bengal-gateway-bbg,47.86388460401752,29.440980430110063,6,9,0.0079325361431593,9,6000000,Stainless_steel,6,0.5,2700000.0,CFRP,10,0.1,540000.0,CFRP,10,0.1,540000.0,CFRP,10,0.1,540000.0
id-zayo-festoon,47.46632891905503,38.45988189579043,3,9,0.0040714405188392,7,3000000,Stainless_steel,6,0.5,1350000.0,Titanium_alloys,9,0.2,540000.0,Titanium_alloys,9,0.2,540000.0,CFRP,10,0.1,270000.0
id-blue,46.89486244549855,15.832645530075643,12,9,0.005293031225919,8,12000000,Stainless_steel,6,0.5,5400000.0,Titanium_alloys,9,0.2,2160000.0,Titanium_alloys,9,0.2,2160000.0,CFRP,10,0.1,1080000.0
id-link-3-phase-1,46.54117622090589,39.46541896949385,2,9,2.3062025895195776e-06,3,2000000,Stainless_steel,6,0.5,900000.0,GFRP,7,0.4,720000.0,GFRP,7,0.4,720000.0,CFRP,10,0.1,180000.0
id-barat-timur-indonesia-1-bti-1,46.41997960535922,23.32612251465465,6,9,0.0062456450407003,8,6000000,Stainless_steel,6,0.5,2700000.0,Titanium_alloys,9,0.2,1080000.0,Titanium_alloys,9,0.2,1080000.0,CFRP,10,0.1,540000.0
id-west-africa-cable-system-wacs,45.98704145976605,12.081840988883966,13,9,0.0034288797501176,7,13000000,Stainless_steel,6,0.5,5850000.0,Titanium_alloys,9,0.2,2340000.0,Titanium_alloys,9,0.2,2340000.0,CFRP,10,0.1,1170000.0
id-e2a,45.30114777656669,21.41895774323217,4,9,0.0172193937608379,10,4000000,Stainless_steel,6,0.5,1800000.0,CFRP,10,0.1,360000.0,CFRP,10,0.1,360000.0,CFRP,10,0.1,360000.0
id-india-asia-xpress-iax,45.19482121219082,11.364969505366393,7,9,0.0104603172132243,9,7000000,Stainless_steel,6,0.5,3150000.0,CFRP,10,0.1,630000.0,CFRP,10,0.1,630000.0,CFRP,10,0.1,630000.0
id-vietnam-singapore-cable-system-vts,44.98256706983335,18.97598279034445,4,9,0.0055966732258912,8,4000000,Stainless_steel,6,0.5,1800000.0,Titanium_alloys,9,0.2,720000.0,Titanium_alloys,9,0.2,720000.0,CFRP,10,0.1,360000.0
id-taiwan-penghu-kinmen-matsu-no-3-tpkm3,44.575689486476,20.49327794191251,10,9,0.0005909413515384,5,10000000,Stainless_steel,6,0.5,4500000.0,Nickel_superalloys,8,0.3,2700000.0,Nickel_superalloys,8,0.3,2700000.0,CFRP,10,0.1,900000.0
id-hainan-to-hong-kong-express-h2he,44.0543435614166,24.00234379117986,3,9,0.0022625769238678,6,3000000,Stainless_steel,6,0.5,1350000.0,Nickel_superalloys,8,0.3,810000.0,Nickel_superalloys,8,0.3,810000.0,CFRP,10,0.1,270000.0
id-global-caribbean-network-gcn,42.47638265144612,38.41312501796746,6,9,0.0096180178995914,9,6000000,Stainless_steel,6,0.5,2700000.0,CFRP,10,0.1,540000.0,CFRP,10,0.1,540000.0,CFRP,10,0.1,540000.0
id-junior,42.43217547874407,30.203182496939053,2,9,0.0013359399188101,6,2000000,Stainless_steel,6,0.5,900000.0,Nickel_superalloys,8,0.3,540000.0,Nickel_superalloys,8,0.3,540000.0,CFRP,10,0.1,180000.0
id-palapa-ring-middle,42.07034710835463,5.49553290551294,20,9,0.0017558215760242,6,20000000,Stainless_steel,6,0.5,9000000.0,Nickel_superalloys,8,0.3,5400000.0,Nickel_superalloys,8,0.3,5400000.0,CFRP,10,0.1,1800000.0
id-malbec,41.3180276612113,30.203182496939053,3,9,0.0012161855447606,5,3000000,Stainless_steel,6,0.5,1350000.0,Nickel_superalloys,8,0.3,810000.0,Nickel_superalloys,8,0.3,810000.0,CFRP,10,0.1,270000.0
id-eastern-africa-submarine-system-eassy,40.96025192268856,13.383330846427096,9,9,0.001573855144981,6,9000000,Stainless_steel,6,0.5,4050000.0,Nickel_superalloys,8,0.3,2430000.0,Nickel_superalloys,8,0.3,2430000.0,CFRP,10,0.1,810000.0
id-europe-india-gateway-eig,40.12572796154908,11.202855108498106,12,9,0.0098492147091907,9,12000000,Stainless_steel,6,0.5,5400000.0,CFRP,10,0.1,1080000.0,CFRP,10,0.1,1080000.0,CFRP,10,0.1,1080000.0
id-echo,39.17772596066162,23.32612251465465,6,9,0.010752080210751,9,6000000,Stainless_steel,6,0.5,2700000.0,CFRP,10,0.1,540000.0,CFRP,10,0.1,540000.0,CFRP,10,0.1,540000.0
id-oran-valencia-orval,39.17126171939973,24.71324238479803,3,9,0.0019392761483495,6,3000000,Stainless_steel,6,0.5,1350000.0,Nickel_superalloys,8,0.3,810000.0,Nickel_superalloys,8,0.3,810000.0,CFRP,10,0.1,270000.0
id-jakabare,38.93243059326539,23.32612251465465,4,9,0.0052201904577408,8,4000000,Stainless_steel,6,0.5,1800000.0,Titanium_alloys,9,0.2,720000.0,Titanium_alloys,9,0.2,720000.0,CFRP,10,0.1,360000.0
id-korea-japan-cable-network-kjcn,38.6676021301072,17.1037903580802,3,9,0.0057174605865172,8,3000000,Stainless_steel,6,0.5,1350000.0,Titanium_alloys,9,0.2,540000.0,Titanium_alloys,9,0.2,540000.0,CFRP,10,0.1,270000.0
id-southern-cross-cable-network-sccn,38.58960851105184,8.038643543501069,9,9,0.0055797450582722,8,9000000,Stainless_steel,6,0.5,4050000.0,Titanium_alloys,9,0.2,1620000.0,Titanium_alloys,9,0.2,1620000.0,CFRP,10,0.1,810000.0
id-jupiter,38.571638780928126,29.119658763369795,5,9,0.0260425640437263,10,5000000,Stainless_steel,6,0.5,2250000.0,CFRP,10,0.1,450000.0,CFRP,10,0.1,450000.0,CFRP,10,0.1,450000.0
id-fibralink,38.00781451161534,20.726851401530453,5,9,0.0025177390220432,7,5000000,Stainless_steel,6,0.5,2250000.0,Titanium_alloys,9,0.2,900000.0,Titanium_alloys,9,0.2,900000.0,CFRP,10,0.1,450000.0
